Item2,Item1,Item1_Cab,Item1_Floor,Item1_Freq,Item2_Cab,Item2_Floor,Item2_Freq,CabDistance,FloorDistance,TotalDistance
D65150660C,D65150670C,6,2,766,7,2,764,1,0,1
D65150670C,D65150660C,7,2,764,6,2,766,1,0,1
D65157510B,D65157520B,10,1,709,9,1,711,1,0,1
D65157520B,D65157510B,9,1,711,10,1,709,1,0,1
D65162620A,D65163620A,2,4,532,1,4,532,1,0,1
D65163620A,D65162620A,1,4,532,2,4,532,1,0,1
D65168424A,D65168454B,12,1,277,11,1,277,1,0,1
D65168454B,D65168424A,11,1,277,12,1,277,1,0,1
D6516851XC02,D6516851YC02,13,5,527,12,5,531,1,0,1
D6516851YC02,D6516851XC02,12,5,531,13,5,527,1,0,1
DG9969452,DG9969453,20,1,631,19,1,631,1,0,1
DG9969453,DG9969452,19,1,631,20,1,631,1,0,1
DK4961157A,DK4961158B,8,5,555,5,5,561,3,0,3
DK4961158B,DK4961157A,5,5,561,8,5,555,3,0,3
ZJ3918861A,ZJ3918861B,2,5,599,15,5,516,13,0,13
ZJ3918861B,ZJ3918861A,15,5,516,2,5,599,13,0,13
